Time,CPU Usage (%),RAM Usage (%)
2022-12-08 08:25:50,4.443359375,33.4
2022-12-08 08:26:20,4.7119140625,34.0
2022-12-08 08:26:50,4.638671875,33.8
2022-12-08 08:27:20,4.45556640625,33.5
2022-12-08 08:27:50,4.30908203125,33.6
2022-12-08 08:28:20,4.30908203125,33.3
2022-12-08 08:28:50,4.16259765625,33.3
2022-12-08 08:29:20,4.01611328125,33.6
2022-12-08 08:29:50,4.01611328125,33.4
2022-12-08 08:30:20,4.01611328125,33.5
2022-12-08 08:30:50,3.86962890625,33.5
2022-12-08 08:31:20,4.150390625,33.4
2022-12-08 08:31:50,4.00390625,33.5
2022-12-08 08:32:20,4.94384765625,34.1
2022-12-08 08:32:51,4.72412109375,34.0
2022-12-08 08:33:21,4.5166015625,33.6
2022-12-08 08:33:51,4.3701171875,33.6
2022-12-08 08:34:21,4.77294921875,33.6
2022-12-08 08:34:51,4.55322265625,33.7
2022-12-08 08:35:21,4.50439453125,33.5
2022-12-08 08:35:51,4.35791015625,33.5
2022-12-08 08:36:21,4.21142578125,33.4
2022-12-08 08:36:51,4.06494140625,33.4
2022-12-08 08:37:21,4.06494140625,33.4
2022-12-08 08:37:51,4.06494140625,33.3
2022-12-08 08:38:21,4.21142578125,34.1
2022-12-08 08:38:51,4.4921875,33.8
2022-12-08 08:39:21,4.345703125,33.7
2022-12-08 08:39:51,4.345703125,33.6
2022-12-08 08:40:21,4.19921875,33.6
2022-12-08 08:40:51,4.33349609375,33.4
2022-12-08 08:41:21,4.33349609375,33.4
2022-12-08 08:41:51,4.18701171875,33.4
2022-12-08 08:42:21,4.04052734375,33.4
2022-12-08 08:42:51,3.89404296875,33.5
2022-12-08 08:43:21,4.0283203125,33.3
2022-12-08 08:43:51,4.0283203125,33.5
2022-12-08 08:44:21,4.443359375,34.1
2022-12-08 08:44:51,4.55322265625,33.8
2022-12-08 08:45:21,4.50439453125,33.6
2022-12-08 08:45:51,4.58984375,33.5
2022-12-08 08:46:21,4.4189453125,33.4
2022-12-08 08:46:51,4.2724609375,33.6
2022-12-08 08:47:21,4.1259765625,33.5
2022-12-08 08:47:51,3.9794921875,33.7
2022-12-08 08:48:21,3.8330078125,33.6
2022-12-08 08:48:51,3.6865234375,33.5
2022-12-08 08:49:21,3.6865234375,33.6
2022-12-08 08:49:51,3.6865234375,33.6
2022-12-08 08:50:21,4.23583984375,34.3
2022-12-08 08:50:51,4.08935546875,33.8
2022-12-08 08:51:21,4.35791015625,33.6
2022-12-08 08:51:51,4.21142578125,33.6
2022-12-08 08:52:21,4.06494140625,33.5
2022-12-08 08:52:51,3.91845703125,33.4
2022-12-08 08:53:21,3.77197265625,33.6
2022-12-08 08:53:52,3.62548828125,33.5
2022-12-08 08:54:22,3.47900390625,33.5
2022-12-08 08:54:52,3.33251953125,33.5
2022-12-08 08:55:22,3.61328125,33.7
2022-12-08 08:55:52,3.61328125,33.5
2022-12-08 08:56:22,3.89404296875,33.9
2022-12-08 08:56:52,3.74755859375,33.6
2022-12-08 08:57:22,3.60107421875,33.5
2022-12-08 08:57:52,3.60107421875,33.3
2022-12-08 08:58:22,3.45458984375,33.6
2022-12-08 08:58:52,3.30810546875,33.5
2022-12-08 08:59:22,3.16162109375,33.6
2022-12-08 08:59:52,3.01513671875,33.5
2022-12-08 09:00:22,3.01513671875,33.3
2022-12-08 09:00:52,3.01513671875,33.5
2022-12-08 09:01:22,2.86865234375,33.3
2022-12-08 09:01:52,3.1494140625,33.6
2022-12-08 09:02:22,5.6884765625,34.1
2022-12-08 09:02:52,5.615234375,33.8
2022-12-08 09:03:22,5.6884765625,33.8
2022-12-08 09:03:52,5.46875,33.7
2022-12-08 09:04:22,5.3955078125,33.4
2022-12-08 09:04:52,5.17578125,33.6
2022-12-08 09:05:22,4.9560546875,33.3
2022-12-08 09:05:52,5.1513671875,33.6
2022-12-08 09:06:22,5.078125,33.4
2022-12-08 09:06:52,4.8583984375,33.4
2022-12-08 09:07:22,4.78515625,33.5
2022-12-08 09:07:52,4.5654296875,33.3
2022-12-08 09:08:22,6.005859375,34.0
2022-12-08 09:08:52,5.7861328125,33.8
2022-12-08 09:09:22,5.56640625,33.5
2022-12-08 09:09:52,5.3466796875,33.4
2022-12-08 09:10:22,5.2734375,33.6
2022-12-08 09:10:52,5.0537109375,33.6
2022-12-08 09:11:22,4.98046875,33.3
2022-12-08 09:11:52,4.7607421875,33.4
2022-12-08 09:12:22,4.6875,33.5
2022-12-08 09:12:52,4.4921875,33.4
2022-12-08 09:13:22,4.638671875,33.6
2022-12-08 09:13:52,4.5654296875,33.3
2022-12-08 09:14:22,5.60302734375,33.9
2022-12-08 09:14:53,5.38330078125,33.9
2022-12-08 09:15:23,5.16357421875,33.7
2022-12-08 09:15:53,4.94384765625,33.7
2022-12-08 09:16:23,5.0048828125,33.6
2022-12-08 09:16:53,4.931640625,33.6
2022-12-08 09:17:23,4.7119140625,33.5
2022-12-08 09:17:53,4.50439453125,33.6
2022-12-08 09:18:23,4.35791015625,33.6
2022-12-08 09:18:53,4.4921875,33.6
2022-12-08 09:19:23,4.4921875,33.4
2022-12-08 09:19:53,4.345703125,33.4
2022-12-08 09:20:23,4.638671875,34.1
2022-12-08 09:20:53,4.8583984375,34.0
2022-12-08 09:21:23,4.638671875,33.6
2022-12-08 09:21:53,4.5654296875,33.6
2022-12-08 09:22:23,4.40673828125,33.8
2022-12-08 09:22:53,4.5166015625,33.5
2022-12-08 09:23:23,4.3701171875,33.5
2022-12-08 09:23:53,4.3701171875,33.5
2022-12-08 09:24:23,4.3701171875,33.4
2022-12-08 09:24:53,4.3701171875,33.6
2022-12-08 09:25:23,4.65087890625,33.5
2022-12-08 09:25:53,4.4677734375,33.4
2022-12-08 09:26:23,4.99267578125,34.1
2022-12-08 09:26:53,4.91943359375,34.1
2022-12-08 09:27:23,4.84619140625,33.7
2022-12-08 09:27:53,4.62646484375,33.7
2022-12-08 09:28:23,4.443359375,33.4
2022-12-08 09:28:53,4.296875,33.6
2022-12-08 09:29:23,4.150390625,33.5
2022-12-08 09:29:53,4.00390625,33.7
2022-12-08 09:30:23,3.857421875,33.5
2022-12-08 09:30:53,3.7109375,33.6
2022-12-08 09:31:23,3.7109375,33.4
2022-12-08 09:31:53,3.564453125,33.6
2022-12-08 09:32:23,5.06591796875,34.0
2022-12-08 09:32:53,5.126953125,33.5
2022-12-08 09:33:23,5.0537109375,33.7
2022-12-08 09:33:53,4.833984375,33.6
2022-12-08 09:34:23,4.6142578125,33.6
2022-12-08 09:34:53,4.443359375,33.4
2022-12-08 09:35:23,4.296875,33.5
2022-12-08 09:35:53,4.150390625,33.5
2022-12-08 09:36:23,4.00390625,33.5
2022-12-08 09:36:53,4.13818359375,33.6
2022-12-08 09:37:23,4.2724609375,33.7
2022-12-08 09:37:53,4.2724609375,33.6
2022-12-08 09:38:23,4.67529296875,34.1
2022-12-08 09:38:53,4.6142578125,34.0
2022-12-08 09:39:24,4.541015625,33.7
2022-12-08 09:39:54,4.39453125,33.7
2022-12-08 09:40:24,4.39453125,33.9
2022-12-08 09:40:54,4.39453125,33.7
2022-12-08 09:41:24,4.248046875,33.6
2022-12-08 09:41:54,4.38232421875,33.5
2022-12-08 09:42:24,4.38232421875,33.6
2022-12-08 09:42:54,4.23583984375,33.3
2022-12-08 09:43:24,4.5166015625,33.4
2022-12-08 09:43:54,4.4921875,33.5
2022-12-08 09:44:24,4.345703125,34.0
2022-12-08 09:44:54,4.19921875,34.0
2022-12-08 09:45:24,4.052734375,33.6
2022-12-08 09:45:54,3.90625,33.5
2022-12-08 09:46:24,3.759765625,33.6
2022-12-08 09:46:54,3.61328125,33.8
2022-12-08 09:47:24,3.759765625,33.5
2022-12-08 09:47:54,3.61328125,33.4
2022-12-08 09:48:24,3.74755859375,33.5
2022-12-08 09:48:54,3.60107421875,33.5
2022-12-08 09:49:24,3.74755859375,33.5
2022-12-08 09:49:54,3.60107421875,33.4
2022-12-08 09:50:24,3.45458984375,34.0
2022-12-08 09:50:54,3.30810546875,34.0
2022-12-08 09:51:24,3.16162109375,33.6
2022-12-08 09:51:54,3.01513671875,33.7
2022-12-08 09:52:24,3.01513671875,33.4
2022-12-08 09:52:54,3.1494140625,33.5
2022-12-08 09:53:24,3.0029296875,33.5
2022-12-08 09:53:54,3.0029296875,33.4
2022-12-08 09:54:24,3.0029296875,33.6
2022-12-08 09:54:54,2.8564453125,33.5
2022-12-08 09:55:24,3.0029296875,33.4
2022-12-08 09:55:54,2.8564453125,33.6
2022-12-08 09:56:24,2.8564453125,34.0
2022-12-08 09:56:54,2.7099609375,34.0
2022-12-08 09:57:24,2.5634765625,34.0
2022-12-08 09:57:54,2.4169921875,34.0
2022-12-08 09:58:24,2.4169921875,34.0
2022-12-08 09:58:54,2.4169921875,34.0
2022-12-08 09:59:24,2.2705078125,34.0
2022-12-08 09:59:54,2.197265625,34.0
2022-12-08 10:00:24,2.1240234375,34.0
2022-12-08 10:00:54,2.05078125,34.0
2022-12-08 10:01:24,2.1240234375,34.0
2022-12-08 10:01:54,2.05078125,34.0
2022-12-08 10:02:24,4.11376953125,34.0
2022-12-08 10:02:54,4.38232421875,34.0
2022-12-08 10:03:25,4.23583984375,33.8
2022-12-08 10:03:55,4.23583984375,33.8
2022-12-08 10:04:25,4.08935546875,33.6
2022-12-08 10:04:55,3.94287109375,33.7
2022-12-08 10:05:25,3.79638671875,33.6
2022-12-08 10:05:55,4.345703125,33.6
2022-12-08 10:06:25,4.345703125,33.4
2022-12-08 10:06:55,4.19921875,33.5
2022-12-08 10:07:25,4.345703125,33.5
2022-12-08 10:07:55,4.345703125,33.7
2022-12-08 10:08:25,5.01708984375,33.9
2022-12-08 10:08:55,4.79736328125,33.9
2022-12-08 10:09:25,4.8583984375,33.6
2022-12-08 10:09:55,4.638671875,33.4
2022-12-08 10:10:25,4.45556640625,33.4
2022-12-08 10:10:55,4.45556640625,33.6
2022-12-08 10:11:25,4.30908203125,33.7
2022-12-08 10:11:55,4.16259765625,33.4
2022-12-08 10:12:25,4.01611328125,33.3
2022-12-08 10:12:55,3.86962890625,33.7
2022-12-08 10:13:25,4.296875,33.5
2022-12-08 10:13:55,4.150390625,33.8
2022-12-08 10:14:25,5.2001953125,33.9
2022-12-08 10:14:55,4.98046875,33.9
2022-12-08 10:15:25,4.7607421875,33.8
2022-12-08 10:15:55,4.541015625,33.9
2022-12-08 10:16:25,4.39453125,33.9
2022-12-08 10:16:55,4.248046875,33.9
2022-12-08 10:17:25,4.1015625,33.9
2022-12-08 10:17:55,3.955078125,33.9
2022-12-08 10:18:25,3.80859375,33.9
2022-12-08 10:18:55,3.94287109375,33.9
2022-12-08 10:19:25,3.94287109375,33.9
2022-12-08 10:19:55,3.79638671875,34.0
2022-12-08 10:20:25,4.47998046875,33.9
2022-12-08 10:20:55,4.33349609375,33.9
2022-12-08 10:21:25,4.18701171875,33.6
2022-12-08 10:21:55,4.04052734375,33.7
2022-12-08 10:22:25,3.89404296875,33.8
2022-12-08 10:22:55,3.89404296875,33.6
2022-12-08 10:23:25,3.74755859375,33.4
2022-12-08 10:23:55,4.0283203125,33.4
2022-12-08 10:24:25,4.0283203125,33.5
2022-12-08 10:24:55,3.8818359375,33.5
2022-12-08 10:25:25,3.8818359375,33.6
